title,videoIDs,video_description,publishedDate,likes,dislikes,views,comment
Manny Pacquiao - The Crazy Power in Boxing History,CWESqqysNTs,"Unbelievable speed, wild strength, phenomenal technique, and lightning-fast footwork. This is just a little of what the legendary Filipino boxer Manny Pacquiao is famous for...

#MannyPacquiao #Boxing #Speed",2021-11-02T10:37:30Z,845,19,13142,92
Tank Abbott - The Crazy Power in MMA,QW4pPUpAuGM,"David Lee Abbott, nicknamed Tank, is the personification of old-school mixed martial arts of the 1990s, which were rather evenly matched fights without rules.

#mma #Tank #DavidAbbott",2021-10-24T08:51:27Z,1160,71,49202,44
3 Fights That Will Never Be Forgotten - Part 9,ThztBvzDYfk,"More episodes in this playlist - https://www.youtube.com/playlist?list=PLTkClcDWsj-Ogz9Qdj6NKYWn6j_4oklBD

00:00 Introduction
01:10 Zab Judah vs Kostya Tsyzu
11:44 Joe Frazier vs Muhammad Ali I
20:42 Marco Antonio Barrera vs Prince Naseem Hamed

#Boxing #Legend #Fight",2021-10-19T20:43:46Z,4658,165,363186,198
Opponents BEFORE and AFTER Fighting Mike Tyson,GTkgrxoIFvk,"Speed, strength and aggression. Made Mike Tyson the most dangerous person on the planet. His boxing style was both ferocious as well as intimidating, which was better and more powerful than the style of most other boxers in the ring...

#MikeTyson #Boxing #Legend",2021-10-16T14:17:05Z,2588,94,137958,209
Instant Karma in Boxing - Oleksandr Usyk,7l-TaLMZzZA,"Oleksandr Usyk is a great champion who is famous not only for his achievements in boxing but also for his truly honorable behavior both in and out of the ring.  In today’s video, we will see just what happens when you make Olexander Usyk angry...

#Boxing #Karma #Highlights",2021-09-19T18:01:28Z,26938,1318,1938963,1990
When Mike Tyson Loses Control in His Main Boxing Confrontation,Qbex3SmZbUg,"In the first fight, which took place at the end of 1996, Holyfield created a sensation. He entered the fight as an outsider at 5:1, but went on to control most of the fight, and..

🎧 Songs:
Kevin Graham - Apex
Dream Cave - The Eternal War
Kikoru - Agent Puzzle
Valentina Gribanova - Majestic Planet Earth
Michael Vignola - Escaping Forever
Edgar Hopp - One Last Battle
Bobby Cole - Epic Cinematic Movie Trailer Music
Valentina Gribanova - Epic Death Of A Hero
Lance Conrad - Down To The Wire
Michael Vignola - Stumbling

#Boxing #MikeTyson #Fight",2021-09-08T13:24:33Z,41892,2109,3116061,1552
The Story of the Brutal Confrontation of the Titans,uQ_hMc9LjCg,"""You will die if you continue boxing"" - the text of a paper note of personal doctor Mohammed Ali - Freddy Pacheco, which the specialist handed over to the boxer's headquarters, having studied his analyzes, right after the fight with Ernie Shavers...

#MohammedAli #LarryHolmes #Boxing",2021-09-04T15:00:40Z,1757,123,140322,154
The Boxer Whom Even Muhammad Ali Feared,F071S7s0sx4,"He was a famous world champion in the era of boxing which is still called the golden age even today. Mohammed Ali himself was afraid of him! And his left hook is rightfully considered one of the strongest blows in boxing history. His name is ""Smokin"" Joe Frazier...

🎧 Songs:
Kevin Graham - Fallen
Hysteria - Devil's little helper
Garrett Olmstead - Heaven to Hell
Elliot Holmes - For the Win
Lance Conrad - Down To The Wire
Kevin Graham - Apex
Hampus Naeselius - Valley of the Kings
Luke Neumann - Eye of the drone
Dream Cave - A Mother's Wrath
Dream Cave - Truce No More
Dream Cave - Never Tell Me the Odds
Edgar Hopp - One Last Battle
Jon Bjork - Sheer Will
Edgar Hopp - Skyfall
Bobby Cole - Epic Cinematic Movie Trailer Music
Valentina Gribanova - Epic Cinematic Drama

#Boxing #Documentary #Highlights",2021-08-04T12:17:57Z,14281,487,765456,1455
A Legendary Trilogy in Boxing - Manny Pacquiao vs Erik Morales,oOXaA8CT4EA,"Just 4 months after his third fight with Marco Antonio Barrera, Erik Morales entered a highly anticipated duel that sparked public interest. El Terrible's rival is the sensational Filipino Manny Pacquiao...

🎧 Songs:
Kevin Graham -  Ablaze
Hampus Naeselius - Valley of the Kings
Dream Cave - Truce No More
Kevin Graham - Apex
Valentina Gribanova - Epic Death Of A Hero
Dream Cave - Never Tell Me the Odds
Edgar Hopp - One Last Battle
Dream Cave - A Mother's Wrath
Jo Wandrini - Phantasm
Lance Conrad - Down To The Wire
Jo Wandrini - Legions
Jon Bjork - Sheer Will
Wolfgang Woehrle - Evidence Full
Luke Neumann - Shadows alt percussion
Michael Vignola - Stumbling

00:00 Introduction
00:18 Manny Pacquiao vs Erik Morales I
17:17 Manny Pacquiao vs Erik Morales II
29:47 Manny Pacquiao vs Erik Morales III
36:18 End of story

#Boxing #Knockout #Fight",2021-07-25T17:49:06Z,16822,1729,2346805,528
Buakaw Por. Pramuk - A Dark Night at K-1 Max,rKrmJsrvWAA,"Buakaw was one who instilled the fear of Muay Thai in the hearts of the K-1 MAX fighters. He managed to combine the beauty of technical fighting with devastating power. His knees in a clinch were so intimidating that K-1 had to change the rules because of him...

🎧 Songs:
Dream Cave - Night of the Drowned
Jo Wandrini - Phantasm
Bobby Cole - Epic Cinematic Movie Trailer Music
Edgar Hopp - When All Kingdoms Fall
Dream Cave - Truce No More
Hampus Naeselius - Valley of the Kings

#Buakaw #MuayThai #Legend",2021-07-17T13:04:37Z,23178,1271,2408037,517
3 Fights That Will Never Be Forgotten - Part 8,XVlS_XMvAmg,"More episodes in this playlist - https://www.youtube.com/playlist?list=PLTkClcDWsj-Ogz9Qdj6NKYWn6j_4oklBD

00:00 Introduction
01:22 Arturo Gatti vs Gabriel Ruelas
09:52 Julio Cesar Chavez vs Meldrick Taylor
18:01 Felix Trinidad vs Fernando Vargas

🎧 Songs:
Jo Wandrini - Phantasm
Bruce Zimmerman - Corporate Takeover
Dream Cave - A Mother's Wrath
Edgar Hopp - One Last Battle
Trevor Kowalski - A Fighting Chance
Dream Cave - Still Rivals
Dream Cave - Truce No More
Dream Cave - Guardians
Jon Bjork - Adamantine
Edgar Hopp - When All Kingdoms Fall
Valentina Gribanova - Epic Death Of A Hero
Dream Cave - Epic Voyage
Dream Cave - The Eternal War
Michael Vignola - Knowing

#Boxing #Legend #Fight",2021-07-02T11:42:25Z,3707,279,362155,164
